platform_name,product_site_name,prodgroup3,item_id,dlcp_proc,metric_key,mfg_stage,euph,operation,operation_name,resource_,common_name,gu,mor,lot_sampling,lot_size,mor_source
AT,A48,NVP,40738,FF,800191_VF,HVM-FULL,183550.0,151,CSAM EPOXY FLI,CSMj,Nova Lake PCH-S,64.2,1414.07,1.0,,mcs_original
AT,A48,NVP,40738,FF,800191_VF,HVM-FULL,183550.0,1237,CSAM EPOXY FLI,CSMj,Nova Lake PCH-S,64.2,1414.07,1.0,,mcs_original
AT,A48,NVP,40738,FF,800191_VF,HVM-FULL,183550.0,1237,CSAM EPOXY FLI,CSMj,Nova Lake PCH-S,64.2,1414.07,6.0,,mcs_original
AT,A48,NVP,40738,FF,800191_VF,HVM-FULL,183550.0,1803,CSAM EPOXY FLI,CSMj,Nova Lake PCH-S,64.2,1414.07,1.0,,mcs_original
AT,A48,NVP,40738,FF,800191_VF,HVM-FULL,183550.0,2237,CSAM EPOXY FLI,CSMj,Nova Lake PCH-S,64.2,1414.07,1.0,,mcs_original
AT,A48,NVP,40738,FF,800191_VF,HVM-FULL,183550.0,3040,CSAM EPOXY FLI,CSMj,Nova Lake PCH-S,64.2,1414.07,1.0,,mcs_original
AT,A48,NVP,40738,FF,795406_VF,HVM-FULL,183550.0,151,CSAM EPOXY FLI,CSMk,Nova Lake PCH-S,64.0,1409.66,1.0,,mcs_original
AT,A48,NVP,40738,FF,795406_VF,HVM-FULL,183550.0,1237,CSAM EPOXY FLI,CSMk,Nova Lake PCH-S,64.0,1409.66,1.0,,mcs_original
AT,A48,NVP,40738,FF,795406_VF,HVM-FULL,183550.0,1237,CSAM EPOXY FLI,CSMk,Nova Lake PCH-S,64.0,1409.66,6.0,,mcs_original
AT,A48,NVP,40738,FF,795406_VF,HVM-FULL,183550.0,1803,CSAM EPOXY FLI,CSMk,Nova Lake PCH-S,64.0,1409.66,1.0,,mcs_original
AT,A48,NVP,40738,FF,795406_VF,HVM-FULL,183550.0,2237,CSAM EPOXY FLI,CSMk,Nova Lake PCH-S,64.0,1409.66,1.0,,mcs_original
AT,A48,NVP,40738,FF,795406_VF,HVM-FULL,183550.0,3040,CSAM EPOXY FLI,CSMk,Nova Lake PCH-S,64.0,1409.66,1.0,,mcs_original
AT,A48,RSLHCP,38794,FF,788993_VF,HVM-FULL,183210.0,2534,DEFLUX PRE DLA,DFXg,RSD MCP HCC,96.0,2110.58,1.0,440.0,mcs_original
AT,A48,PP-RSLHCP,38794,FF,788993_VF,HVM-FULL,183210.0,2534,DEFLUX PRE DLA,DFXg,RSD MCP HCC,96.0,2110.58,1.0,440.0,mcs_original
AT,A48,RSLLCP,38793,FF,788995_VF,HVM-FULL,183210.0,2534,DEFLUX PRE DLA,DFXg,RSD MCP LCC,96.0,2110.58,1.0,440.0,mcs_original
AT,A48,RSLXCP,38184,FF,788994_VF,HVM-FULL,183210.0,2534,DEFLUX PRE DLA,DFXg,RSD MCP XCC,96.0,2110.58,1.0,440.0,mcs_original
AT,A48,PP-RSLXCP,38184,FF,788994_VF,HVM-FULL,183210.0,2534,DEFLUX PRE DLA,DFXg,RSD MCP XCC,96.0,2110.58,1.0,440.0,mcs_original
AT,A48,IVBB22,27703,HP,609865_VF,HVM-FULL,176320.0,151,CSAM EPOXY FLI,CSMe,IVB H22,97.5,2062.94,1.0,,mcs_original
AT,A48,IVBB22,27703,HP,609865_VF,HVM-FULL,176320.0,1237,CSAM EPOXY FLI,CSMe,IVB H22,97.5,2062.94,1.0,,mcs_original
AT,A48,IVBB22,27703,HP,609865_VF,HVM-FULL,176320.0,1803,CSAM EPOXY FLI,CSMe,IVB H22,97.5,2062.94,1.0,,mcs_original
AT,A48,IVBB22,27703,HP,609865_VF,HVM-FULL,176320.0,2237,CSAM EPOXY FLI,CSMe,IVB H22,97.5,2062.94,1.0,,mcs_original
