prodgroup3,dlcp,sdd_sequence,operation,wip,yield,shipout,commit1,commit2,qtg1,qtg2,qps1,qps2,stg1,stg2
ARLH682,FF,10,1209,0.0,1.0,32.007,78.766,80.505,-57.977,26.729,-57.977,1.831,0.6,14.6
ARLH682,FF,20,1204,34.125,1.0,32.007,78.766,80.505,-23.852,60.854,-23.852,4.112,0.8,14.8
ARLH682,FF,30,5651,3.583,1.0,32.007,78.766,80.505,-20.269,64.437,-20.269,4.325,0.9,14.9
ARLH682,FF,40,2004,1.789,1.0,32.007,78.766,80.505,-18.48,66.226,-16.8,4.386,1.1,15.1
ARLH682,FF,50,1225,5.375,1.0,32.007,78.766,80.505,-13.105,71.601,-9.361,4.649,1.4,15.4
ARLH682,FF,60,1987,0.0,1.0,32.007,78.766,80.505,-13.105,71.601,-8.191,4.59,1.6,15.6
ARLH682,FF,70,2135,1.792,1.0,32.007,78.766,80.505,-11.313,73.393,-5.954,4.616,1.9,15.9
ARLH682,FF,80,730,0.0,1.0,32.007,78.766,80.505,-11.313,73.393,-5.657,4.587,2.0,16.0
ARLH682,FF,90,1429,0.0,1.0,32.007,78.766,80.505,-11.313,73.393,-5.387,4.559,2.1,16.1
ARLH682,FF,100,970,3.566,1.0,32.007,78.766,80.505,-7.747,76.959,-3.228,4.693,2.4,16.4
ARLH682,FF,110,1430,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.98,4.636,2.6,16.6
ARLH682,FF,120,1237,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.869,4.608,2.7,16.7
ARLH682,FF,130,1253,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.869,4.608,2.7,16.7
ARLH682,FF,140,1299,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.767,4.581,2.8,16.8
ARLH682,FF,150,5653,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.672,4.554,2.9,16.9
ARLH682,FF,160,2171,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.421,4.474,3.2,17.2
ARLH682,FF,170,2151,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.279,4.423,3.4,17.4
ARLH682,FF,180,2436,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-2.214,4.398,3.5,17.5
ARLH682,FF,190,2150,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.987,4.299,3.9,17.9
ARLH682,FF,200,2133,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.845,4.229,4.2,18.2
ARLH682,FF,210,2172,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.722,4.16,4.5,18.5
ARLH682,FF,220,5001,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.684,4.138,4.6,18.6
ARLH682,FF,230,11,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.614,4.094,4.8,18.8
ARLH682,FF,240,7652,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.614,4.094,4.8,18.8
ARLH682,FF,250,7653,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.614,4.094,4.8,18.8
ARLH682,FF,260,7654,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.614,4.094,4.8,18.8
ARLH682,FF,270,7655,0.0,1.0,32.007,78.766,80.505,-7.747,76.959,-1.614,4.094,4.8,18.8
ARLH682,FF,280,7820,26.183,1.0,32.007,78.766,80.505,18.436,103.142,2.926,5.081,6.3,20.3
ARLH682,FF,290,7821,0.0,1.0,32.007,78.766,80.505,18.436,103.142,2.926,5.081,6.3,20.3
ARLH682,FF,300,7827,0.0,1.0,32.007,78.766,80.505,18.436,103.142,2.926,5.081,6.3,20.3
ARLH682,FF,310,7060,3.227,1.0,32.007,78.766,80.505,21.663,106.369,3.438,5.24,6.3,20.3
ARLH682,FF,320,8585,0.0,1.0,32.007,78.766,80.505,21.663,106.369,3.385,5.214,6.4,20.4
ARLH682,FF,330,8785,0.0,1.0,32.007,78.766,80.505,21.663,106.369,3.385,5.214,6.4,20.4
ARLH682,FF,340,8780,0.0,1.0,32.007,78.766,80.505,21.663,106.369,3.385,5.214,6.4,20.4
ARLH682,FF,350,8832,1.791,1.0,32.007,78.766,80.505,23.454,108.16,3.608,5.276,6.5,20.5
ARLH682,FF,360,8834,0.0,1.0,32.007,78.766,80.505,23.454,108.16,3.608,5.276,6.5,20.5
ARLH682,FF,370,7571,0.0,0.96,32.007,78.766,80.505,23.454,108.16,3.449,5.2,6.8,20.8
ARLH682,FF,380,3777,0.0,1.0,32.007,78.766,80.505,22.515,103.834,3.311,4.992,6.8,20.8
ARLH682,FF,390,7391,0.0,1.0,32.007,78.766,80.505,22.515,103.834,3.311,4.992,6.8,20.8
ARLH682,FF,400,7200,0.0,1.0,32.007,78.766,80.505,22.515,103.834,3.216,4.944,7.0,21.0
ARLH682,FF,410,5006,0.0,1.0,32.007,78.766,80.505,22.515,103.834,3.216,4.944,7.0,21.0
ARLH682,FF,420,7290,14.38,1.0,32.007,78.766,80.505,36.895,118.214,5.271,5.629,7.0,21.0
ARLH682,FF,430,488,0.0,1.0,32.007,78.766,80.505,36.895,118.214,5.271,5.629,7.0,21.0
ARLH682,FF,440,8795,0.0,1.0,32.007,78.766,80.505,36.895,118.214,5.271,5.629,7.0,21.0
ARLH682,FF,450,6970,4.342,0.99,32.007,78.766,80.505,41.237,122.556,5.155,5.571,8.0,22.0
ARLH682,FF,460,7899,0.0,1.0,32.007,78.766,80.505,40.825,121.33,5.103,5.515,8.0,22.0
ARLH682,FF,470,7295,0.0,1.0,32.007,78.766,80.505,40.825,121.33,5.103,5.515,8.0,22.0
ARLH682,FF,480,6274,0.0,1.0,32.007,78.766,80.505,40.825,121.33,4.979,5.465,8.2,22.2
ARLH682,FF,490,6275,0.0,1.0,32.007,78.766,80.505,40.825,121.33,4.979,5.465,8.2,22.2
ARLH682,FF,500,6676,0.0,1.0,32.007,78.766,80.505,40.825,121.33,4.919,5.441,8.3,22.3
ARLH682,FF,510,6379,0.0,1.0,32.007,78.766,80.505,40.825,121.33,4.919,5.441,8.3,22.3
ARLH682,FF,520,7906,0.0,1.0,32.007,78.766,80.505,40.825,121.33,4.919,5.441,8.3,22.3
ARLH682,FF,530,1007,3.108,1.0,32.007,78.766,80.505,43.933,124.438,5.23,5.555,8.4,22.4
ARLH682,FF,540,6547,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.23,5.555,8.4,22.4
ARLH682,FF,550,8792,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.23,5.555,8.4,22.4
ARLH682,FF,560,1793,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.23,5.555,8.4,22.4
ARLH682,FF,570,7226,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.23,5.555,8.4,22.4
ARLH682,FF,580,7356,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.169,5.531,8.5,22.5
ARLH682,FF,590,7333,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.169,5.531,8.5,22.5
ARLH682,FF,600,7000,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.169,5.531,8.5,22.5
ARLH682,FF,610,8581,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.108,5.506,8.6,22.6
ARLH682,FF,620,7354,0.0,1.0,32.007,78.766,80.505,43.933,124.438,5.108,5.506,8.6,22.6
ARLH682,FF,630,7475,2.826,1.0,32.007,78.766,80.505,46.759,127.264,5.375,5.606,8.7,22.7
ARLH682,FF,640,7345,0.0,1.0,32.007,78.766,80.505,46.759,127.264,5.375,5.606,8.7,22.7
ARLH682,FF,650,7399,0.0,1.0,32.007,78.766,80.505,46.759,127.264,5.314,5.582,8.8,22.8
ARLR816L,FF,10,1209,0.0,1.0,127.468,262.311,268.669,-138.337,144.353,-138.337,10.614,-0.4,13.6
ARLR816L,FF,20,1204,70.298,1.0,127.468,262.311,268.669,-68.039,214.651,-68.039,15.554,-0.2,13.8
ARLR816L,FF,30,5651,5.854,1.0,127.468,262.311,268.669,-62.185,220.505,-62.185,15.864,-0.1,13.9
ARLR816L,FF,40,2004,4.704,1.0,127.468,262.311,268.669,-57.481,225.209,-57.481,15.972,0.1,14.1
ARLR816L,FF,50,1225,12.541,1.0,127.468,262.311,268.669,-44.94,237.75,-44.94,16.51,0.4,14.4
ARLR816L,FF,60,1987,1.568,1.0,127.468,262.311,268.669,-43.372,239.318,-43.372,16.392,0.6,14.6
ARLR816L,FF,70,2135,1.568,1.0,127.468,262.311,268.669,-41.804,240.886,-41.804,16.167,0.9,14.9
ARLR816L,FF,80,730,1.568,1.0,127.468,262.311,268.669,-40.236,242.454,-40.236,16.164,1.0,15.0
ARLR816L,FF,90,1429,0.0,1.0,127.468,262.311,268.669,-40.236,242.454,-36.578,16.057,1.1,15.1
ARLR816L,FF,100,970,6.268,1.0,127.468,262.311,268.669,-33.968,248.722,-24.263,16.151,1.4,15.4
ARLR816L,FF,110,1430,0.0,1.0,127.468,262.311,268.669,-33.968,248.722,-21.23,15.944,1.6,15.6
ARLR816L,FF,120,1237,0.0,1.0,127.468,262.311,268.669,-33.968,248.722,-19.981,15.842,1.7,15.7
ARLR816L,FF,130,2237,0.0,1.0,127.468,262.311,268.669,-33.968,248.722,-19.981,15.842,1.7,15.7
ARLR816L,FF,140,5653,0.0,1.0,127.468,262.311,268.669,-33.968,248.722,-17.878,15.643,1.9,15.9
ARLR816L,FF,150,2171,0.0,1.0,127.468,262.311,268.669,-33.968,248.722,-15.44,15.353,2.2,16.2
ARLR816L,FF,160,2176,9.408,1.0,127.468,262.311,268.669,-24.56,258.13,-11.164,15.934,2.2,16.2
