prodgroup3,sspec,ShipOutBySspec,L15WipBySspec
ARLH682,RQAM,7.755,
ARLH682,RQAN,6.418,1.781
ARLH682,RQAP,9.385,2.602
ARLH682,RQAQ,8.449,5.893
ARLR816L,RQCS,3.843,0.336
ARLR816L,RQCU,0.773,
ARLR816L,RQCW,5.298,3.613
ARLR816L,RQCX,33.071,11.662
ARLR816L,RQCZ,31.279,13.336
ARLR816L,RQD2,1.011,3.065
ARLR816L,RQD4,5.407,2.584
ARLR816LK,A4UZ,3.878,1.781
ARLR816LK,A4V3,7.308,3.516
ARLR816LK,A4V6,35.6,13.418
ARLS681,RQAS,17.915,2.694
ARLS681,RQES,20.67,17.462
ARLS681,RVFA,7.77,
ARLU281,RVFP,1.993,
ARLU281,RVFQ,53.183,22.78
ARLU281,RVFR,5.732,4.235
KBGB42,R34S,0.512,
KBGB42,R34T,1.297,0.496
KBGB42,R34V,0.802,0.42
KBGB42,R34X,0.995,
MEV,RN2H,7.219,8.855
MTLH682,RMZ0,44.103,23.278
MTLH682,RMZ4,7.489,2.068
MTLU281,RN6E,2.775,1.046
RPLP682,ADSX,4.902,
RPLP682,RMHX,17.878,10.225
RPLP682,RMJ0,1.423,
RPRP282,RN7M,22.106,1.605
RPRP282,RN7N,18.226,7.182
RPRP282,RN7P,50.217,27.67
RPRP282,RN7Q,2.681,
RPRP282,RPD4,1.423,
RPRP682,AEFD,7.18,1.732
RPRP682,RMHX,48.129,
RPRP682,RQ6R,6.671,14.53
RPRS601,RMX0,2.847,
RPRS601,RMX1,41.699,7.197
RPRS601,RMX2,5.788,
RPRS601,RN3J,1.442,
RPRS881,RN3P,3.456,2.68
RPRS881,RN3Q,5.346,9.728
RPRS881,RN3R,25.376,1.836
RPRS881,RN3T,19.918,0.342
SKGB42,R2DT,0.607,
SKGB42,R2DV,1.632,
SKGB42,R2DW,1.298,
SKGB42,R2GH,1.374,
SKGB42,R2GJ,1.409,
SPRXCS,RM78,0.583,1.475
SPRXCS,RM7A,0.429,0.625
SPRXCS,RM7B,0.11,0.266
SPRXCS,RM7M,0.142,
SPRXCS,RM7Q,1.438,0.503
SPRXCS,RM8H,0.368,0.538
SPRXCS,RM8J,0.343,0.384
SPRXCS,RMDB,0.644,0.523
SPRXCS,RMZC,0.236,
WCL,AE3E,3.184,
WCL,AE3F,23.145,14.305
WCL,AE3G,3.83,3.077
WCL,AE3H,36.915,45.056
WCL,AE3K,33.533,26.598
WCL,AEFC,11.854,11.336
