PRODGROUP3,OPERATION,OPER_SHORT_DESC,CURRENT_WIP
KBGB42,1863,MPEVI BARE,2763
ARLU281,7226,T-T-TXFR,1315
PP-ARLU281,0599,AI48,73129
PP-ARLU281,1171,LCSA,31825
PP-ARLU281,2174,TACSSTF2,1678
PP-ADLS881,2048,TCB PLASMA,3135
PP-TGRUP3,0799,SITEXP INV,3574
PP-RPLP682,0589,5898,52818
PP-RPLP682,2048,TCB PLASMA,1680
PP-ARLS681,0599,AI48,9813
PP-ARLS681,0589,5898,43708
MTP,3201,C048,6240
MTP,0971,HYBRID CAM,18319
RPRS881,2090,DLAS,7368
RPRS881,1225,EYUF,2938
RPRS881,2004,JDFLX,1470
RPRS881,7226,T-T-TXFR,1246
RPRS881,7399,Y048,1381
RPRP282,2172,TACS3,3584
RPRP282,2133,NG-BAL DH1,14713
RPLP682,1235,EYC,3584
RPRP682,7571,OLBPBICBIN,1791
RPRP682,1204,DIE_TCB,12680
ARLS681,7391,FVITEST,1457
RPLP680,7345,AQC,262
ARLR816L,6970,PPVS&PPVM,7038
SPRXCS,4659,LSR CLEAN2,15
ARLS816L,2700,C048,381
PP-ARLH682,1171,LCSA,11760
ARLS816L,2090,DLAS,10967
ARLS816L,5651,JEDEC-TPP1,3135
ARLH682,2237,CSAM,1062
SKLU22,0589,5898,1232
CFLH62,0589,5898,11161
KBGB42,2172,TACS3,1470
KBGB42,7600,METSTORE,960
ARLU281,2172,TACS3,10744
ARLU281,2135,HPO CURE,12537
ARLU281,2436,PEVI BDFOV,5371
ARLU281,1429,HTS-ST,1789
ARLU281,7600,METSTORE,7937
ARLU281,6379,OLBQA4,41
PP-ARLU281,0699,METPAUSE,85
PP-ARLU281,2150,ERGO2JLP1,1680
PP-ARLU281,0614,FOL UV MAR,13409
ADP,1025,AVI CS,2686
C710,7475,ASTRAP,367
PP-MTP,2170,TACS1,7390
MTP,2172,TACS3,7997
RPRS881,5651,JEDEC-TPP1,5877
RPRS881,6508,SMART PPVS,5603
RPRS881,7472,MVQA,1249
RPLP282,7290,Z048,69881
RPRP282,7226,T-T-TXFR,1615
RPRP282,1235,EYC,1792
RPRP282,5653,JEDEC-TPR1,5371
PP-SPRXCS,0699,METPAUSE,1897
RPLP282,1225,EYUF,7162
RPLP282,5001,U048,10
RPLP682,7600,METSTORE,597
RPLP682,7391,FVITEST,1788
RPLP682,1429,HTS-ST,1792
ARLS681,7290,Z048,9741
RPRP682,7475,ASTRAP,1356
RPRP682,7290,Z048,31781
RPRP682,7333,FVI2,1743
ARLS681,1501,JEDEC-TPT1,2938
ARLS681,1204,DIE_TCB,10599
ARLS681,1366,DLA HPO,1469
ARLS681,2090,DLAS,11741
ARLR816L,7417,FVI(2),1023
ARLS816L,7475,ASTRAP,7319
ARLS816L,7226,T-T-TXFR,2759
ARLH682,1987,HPO HTS1,8940
ARLH682,9022,METPCK STR,18
ARLH682,6970,PPVS&PPVM,10376
ARLH682,7354,MVQA,1704
ARLR816L,0265,2D XRAY,3136
ARLU281,2133,NG-BAL DH1,9035
ARLU281,8832,PHVI2,12530
ARLU281,6274,MPSPHM1,58
ARLU281,7333,FVI2,1094
PP-ARLU281,2044,BRD START,2720
PP-ADP,0599,AI48,22451
PP-ADP,2170,TACS1,8085
PP-RPLP682,0599,AI48,11275
PP-RPLP282,2048,TCB PLASMA,11757
MTP,6881,HCSLTEST1,15265
MTP,7344,PACK,7150
MTP,1235,EYC,2688
RPRS881,7820,MPSTEST1,1007
RPRS881,1204,DIE_TCB,16960
RPRP282,7290,Z048,76918
RPRP282,7297,PPV SPS-1,17763
PP-MTLU281,0799,SITEXP INV,1617
RPLP282,2133,NG-BAL DH1,7160
RPLP682,6970,PPVS&PPVM,4895
RPLP682,2133,NG-BAL DH1,10956
RPLP682,5653,JEDEC-TPR1,3584
RPRP682,6970,PPVS&PPVM,6796
ARLS681,2176,TACSRWK6,5506
ARLS681,1225,EYUF,21362
ARLS681,5653,JEDEC-TPR1,1470
ARLR816L,4992,JEDEC-TPT2,3136
RPLP682,7820,MPSTEST1,16105
ARLS816L,6970,PPVS&PPVM,3448
ARLS816L,1007,DVI EOL,1695
ARLR816L,1987,HPO HTS1,3136
PP-ICK,0589,5898,3240
ARLU281,9022,METPCK STR,414
ARLU281,2171,TACS2,1780
ARLU281,1430,HTS-US,848
ARLU281,7399,Y048,7864
ICK,2133,NG-BAL DH1,6576
PP-ADP,0589,5898,45212
ADP,6881,HCSLTEST1,27187
ADP,0971,HYBRID CAM,39827
ADP,7290,Z048,48853
C710,7345,AQC,315
PP-RPLP682,1175,PLCSVI,3360
PP-RPLP282,0589,5898,40490
MTP,7290,Z048,50091
MTP,7600,METSTORE,3673
MTP,2133,NG-BAL DH1,21498
RPRS881,1501,JEDEC-TPT1,1470
RPRS881,7000,PCS FVI,979
RPRP282,7354,MVQA,1501
RPRP282,1007,DVI EOL,3340
RPRP282,7820,MPSTEST1,64911
