TYPE,ROUTE,SDD_SEQUENCE,OPERATION,OPERATION_DESC,ENTITY,MOR,SAMPLE_RATE,CT,SHIFT_START_WIP,GOAL_TYPE,TOTAL_GOAL,SUBCELL_INFO,PASS_WIP
UNIT,A4P,20,610,MET3SUB,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,A4P,30,601,2D+HR-MARK,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,A4P,40,1208,APL,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,A4P,60,2000,SUB-SCRAP,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,20,1204,DIETCB,,,,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLG601,30,5651,JEDEC-TPP1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,40,2004,JDFLX,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,50,1225,EYUF,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,60,1429,HTS-ST,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,70,1235,EYC,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,80,1430,HTS-US,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,90,1237,CSAM,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,100,1253,PEM,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,110,5653,JEDEC-TPR1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,120,2171,TACS2,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,130,1892,MPEVI-LGA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,140,2150,ERGO2JLP1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,150,2090,DLAS,,,,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLG601,160,1264,IHSAA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,170,1501,JEDEC-TPT1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,180,1266,STIM-DLA,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,190,1268,CSAM2,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,200,4992,JEDEC-TPT2,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,210,265,2D-XRAY,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG601,220,2172,TACS3,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG881,20,1204,DIETCB,,,,0.0,0.0,LoadingPlan_no_goal,0.0,,0.0
UNIT,ADLG881,30,5651,JEDEC-TPP1,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG881,40,2004,JDFLX,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG881,50,1225,EYUF,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG881,60,1429,HTS-ST,,,,0.0,0.0,CleanWIP,0.0,,0.0
UNIT,ADLG881,70,1235,EYC,,,,0.0,0.0,CleanWIP,0.0,,0.0
